StudentID,Sname,Major,Gender,StRating,Level,XP,Password
66,Uğur Aydın,Matematik,Male,4.4,3,25,4d2mDH9r
67,Kaan Aydın,Hukuk,Male,2.3,24,65,Ljr84!tw
68,Hatice Altun,Bilgisayar Mühendisliği,Female,4.3,35,5,UUh9TrBG
69,Doğa Demir,Matematik,Other,3.2,8,90,dC_ZC4*o
70,Havva Çetin,Medya,Female,4.4,27,55,R0EiCFqo
71,Sibel Demir,Fizik,Female,4.4,7,75,T7hGoYcD
72,Duygu Kaya,Biyoloji,Female,2.0,16,40,Kb*Depvy
73,Nur Öztürk,Bilgisayar Mühendisliği,Female,2.6,15,45,!.aBgXNX
74,Beren Yılmaz,Hukuk,Female,4.7,19,45,?K9P_Kqb
75,İbrahim Çelik,Biyoloji,Male,4.5,3,40,Hpzso2EU
76,Hüseyin Aksoy,Bilgisayar Mühendisliği,Male,4.3,8,75,EFG8sEwQ
77,Eren Güneş,Biyoloji,Male,2.3,25,0,2cOwiYL5
78,Berk Aksoy,Psikoloji,Male,1.9,21,85,wFjtOFvS
79,Büşra Toktaş,Medya,Female,4.7,30,95,8X3J*dK-
80,Ayşe Polat,İşletme,Female,1.6,4,25,O*SOz9Nw
81,Murat Öztürk,Medya,Male,2.4,26,80,cjyd*g2T
82,Atalay Aydın,Makine Mühendisliği,Male,0.5,32,60,_I8nKL7.
83,Fatma Toktaş,Psikoloji,Female,2.9,9,45,3slu!2qo
84,Selim Güneş,Medya,Male,4.2,28,20,Qkc3GU0t
85,Hatice Demir,Makine Mühendisliği,Female,4.2,14,50,08R4Xq-O
86,Selim Kaya,Psikoloji,Male,3.0,9,20,Fy7PZWd5
87,Turan Erdem,Makine Mühendisliği,Male,4.1,17,45,.gp0fP.d
88,Eda Öztürk,Bilgisayar Mühendisliği,Female,4.0,16,80,Mtk2y-8W
89,Hasan Koç,Bilgisayar Mühendisliği,Male,2.9,28,50,R5.Hv7Ba
90,Elif Öztürk,Matematik,Female,4.1,8,85,5jB0dFeM
91,Ege Altun,Bilgisayar Mühendisliği,Male,3.9,36,40,nnpZ_HTa
92,Hatice Toktaş,Psikoloji,Female,4.1,36,25,4Xad6dv5
93,Fatma Koç,Makine Mühendisliği,Female,3.2,7,35,pfwr8L-p
94,Oğuz Çelik,Hukuk,Male,1.9,17,0,rmUd!i?p
95,Hüseyin Çelik,Matematik,Male,1.2,2,75,*JCFc2Xf
96,Eren Toktaş,Medya,Male,4.1,2,65,rUDl5tH2
97,İpek Erdem,Matematik,Female,2.6,21,25,m9!5lrfv
98,Nur Aydın,Biyoloji,Female,4.5,2,75,?0!n21JV
99,Hasan Şahin,Biyoloji,Male,4.4,3,35,Yw44pCfk
100,Eren Aydın,Bilgisayar Mühendisliği,Male,4.6,10,75,9_4Q6CzJ
101,Nur Altun,Hukuk,Female,3.8,20,65,kYgZaikW
102,Elif Güneş,Psikoloji,Female,2.0,7,75,OR7jDD*z
103,Hüseyin Demir,Matematik,Male,3.0,1,65,wyt3B?gD
104,Gül Güneş,Medya,Female,4.3,10,70,6!91juT.
105,Berfin Çelik,Matematik,Female,1.6,16,5,3ZtPP2nz
106,Evren Kaya,Psikoloji,Other,4.4,11,35,h1GrcOIN
107,Ahmet Güneş,Fizik,Male,3.8,3,85,.4PPBwVd
108,Nur Toktaş,Matematik,Female,3.0,16,75,uY-3cQzi
109,Zeynep Erdem,Psikoloji,Female,2.8,17,45,dKRgD.Ky
110,Zeynep Polat,Hukuk,Female,3.1,4,40,eT-E3LGX
111,Havva Yılmaz,Bilgisayar Mühendisliği,Female,3.8,24,5,e?ZC-UZT
112,Ahmet Demir,Hukuk,Male,0.7,17,80,I8n1-9DO
113,Zeynep Erdem,Bilgisayar Mühendisliği,Female,3.6,31,50,ruHW9ko_
114,Beren Polat,Matematik,Female,3.0,21,85,pY?HlS6!
115,Merve Altun,Biyoloji,Female,0.5,13,5,DDrU3u!G
116,Eren Şahin,Bilgisayar Mühendisliği,Male,3.3,5,80,7T21TpjK
117,Ozan Erdem,Hukuk,Other,4.1,2,45,_Ctdp.4E
118,Murat Altun,Biyoloji,Male,2.7,7,70,lb05gl!k
119,Evren Koç,Bilgisayar Mühendisliği,Other,1.0,9,70,Ta2vJwHy
120,Uğur Aksoy,Medya,Male,4.6,24,45,eeukukyX
121,İpek Kaya,Hukuk,Female,4.2,15,55,.hb9rUxr
122,Hasan Koç,Makine Mühendisliği,Male,3.2,10,15,8kAfxVQD
123,Mustafa Şahin,Bilgisayar Mühendisliği,Male,3.1,48,35,6sc8MqCC
124,Sibel Öztürk,Medya,Female,3.7,19,40,v01pKV_K
125,Ahmet Yılmaz,Hukuk,Male,3.5,29,55,.6.1k0o?
126,İbrahim Güneş,İşletme,Male,1.7,7,25,k8d9oVYl
127,Elif Koç,Matematik,Female,3.9,9,50,Is*xg3P4
128,Turan Çetin,Biyoloji,Male,1.5,15,15,TqNc_bo*
129,Hüseyin Yılmaz,Matematik,Male,2.0,28,55,sd8tzIhP
130,Ahmet Güneş,Medya,Male,3.3,9,75,xTC5-pSu
131,Furkan Çetin,Medya,Male,3.6,30,15,lVXs*F?A
132,Evren Çelik,Biyoloji,Other,4.3,42,25,Lit81j2m
133,Cem Çetin,Biyoloji,Male,4.1,30,70,rgdlyNCS
134,Mehmet Toktaş,İşletme,Male,4.5,9,10,GotJ_Gv5
135,Sinemis Polat,Hukuk,Female,1.8,23,55,3fKZn1ME
136,Emine Erdem,Biyoloji,Female,2.6,33,85,x2O5*SxV
137,Duygu Koç,Medya,Female,1.4,10,35,6AFoDWQI
138,Beren Erdem,Fizik,Female,2.7,3,95,hF19Is81
139,Turan Altun,Matematik,Male,4.0,21,60,u7!.LX.3
140,Ozan Çelik,İşletme,Other,1.2,24,60,NpmG0ply
141,Emine Demir,Makine Mühendisliği,Female,4.0,24,5,jw_YIQFD
142,Mustafa Çelik,Medya,Male,4.5,12,20,6lnd6R8B
143,Turan Yılmaz,Matematik,Male,4.3,26,75,FnCRzfzy
144,Mustafa Toktaş,İşletme,Male,3.7,30,10,?_dgx-QU
145,Beren Kaya,Fizik,Female,2.4,21,10,P9vTUQky
146,Atalay Demir,Bilgisayar Mühendisliği,Male,2.9,14,15,BS0aLrHi
147,Selim Aydın,Matematik,Male,2.8,3,90,Mvi2DZLi
148,Havva Demir,Hukuk,Female,4.3,21,95,FGslkvcQ
149,Gül Aydın,Makine Mühendisliği,Female,2.0,47,0,E_SOZ6n6
150,Turan Çelik,Hukuk,Male,4.0,5,25,HR_kIlUe
151,İbrahim Demir,Biyoloji,Male,4.1,1,55,.7D8nCQm
152,Ece Çelik,Bilgisayar Mühendisliği,Female,4.1,25,45,6u1cEm8o
153,Ece Erdem,Hukuk,Female,3.4,23,50,EY-gUsDD
154,Beren Aksoy,Psikoloji,Female,2.3,11,55,0RnrgeC0
155,Yasemin Koç,İşletme,Female,3.2,20,75,rxHNB?FL
156,Eren Aksoy,Biyoloji,Male,2.9,11,30,cb6Wq*lR
157,Berk Kaya,Fizik,Male,4.6,2,30,TWuIV.cI
158,Nur Koç,Hukuk,Female,0.8,10,35,Z13eRb7X
159,Havva Aydın,Matematik,Female,3.6,22,45,mj*o-Hex
160,Uğur Koç,Fizik,Male,2.8,48,20,ubbkS-1Y
161,Ece Erdem,Medya,Female,4.2,39,85,GBiK-kF7
162,Yusuf Polat,Biyoloji,Male,3.9,28,10,djID-?VL
163,Doğa Erdem,Hukuk,Other,4.2,2,35,X4i6xv2R
164,Büşra Polat,Psikoloji,Female,4.7,41,20,2N.cTffr
165,Yusuf Toktaş,Matematik,Male,2.8,27,75,0e1Oez7N
166,Büşra Kaya,Biyoloji,Female,2.9,18,25,p!U_Wv7Z
167,Atalay Demir,Makine Mühendisliği,Male,4.4,25,50,wC-drPN?
168,Ece Kaya,Hukuk,Female,3.6,3,25,5fW_eyYV
169,Selin Aksoy,Medya,Female,3.1,20,20,W5HQRuSM
170,Yasemin Kaya,Medya,Female,1.5,24,15,fB82PRFU
171,Ali Polat,Psikoloji,Male,3.0,20,70,.ke3M*?E
172,Nur Aydın,Bilgisayar Mühendisliği,Female,3.3,7,45,ea7DbhMC
173,Utku Kaya,Biyoloji,Other,3.0,18,35,1Ar2qM*D
174,Eda Yılmaz,Hukuk,Female,3.7,12,70,J4Yj0b5Q
175,Hüseyin Erdem,Psikoloji,Male,0.2,17,50,XpdEmx4u
176,Gül Polat,İşletme,Female,0.9,29,20,C1t0T!sq
177,Yusuf Altun,Makine Mühendisliği,Male,3.0,9,25,?Ng0w7zF
178,Fatma Altun,Psikoloji,Female,3.7,6,85,jftXC4EL
179,Havva Kaya,Makine Mühendisliği,Female,4.0,35,20,i2IFLGQD
180,Ozan Aksoy,Biyoloji,Other,3.9,8,85,V3hw0bx6
181,Utku Öztürk,Medya,Other,4.7,33,95,pbZB.B-D
182,Emre Toktaş,İşletme,Male,4.6,13,35,Zd8D2OwK
183,Sibel Aksoy,Medya,Female,4.1,19,55,VTkuRdNv
184,Ali Toktaş,Matematik,Male,3.7,26,20,-idJmF4*
185,Duygu Erdem,Hukuk,Female,3.8,13,55,U5QJNjaE
186,Fatma Toktaş,Fizik,Female,4.7,2,5,FIHkzoNz
187,Emine Güneş,Psikoloji,Female,3.1,27,95,HVEZgzEE
188,Hatice Toktaş,Makine Mühendisliği,Female,2.4,22,40,ZBf_49yA
189,Nur Yılmaz,Matematik,Female,4.8,5,5,46*WEJcg
190,Sibel Demir,Bilgisayar Mühendisliği,Female,1.9,3,35,g5DIKkXo
191,Hatice Güneş,Makine Mühendisliği,Female,3.5,10,65,RcYmzu8l
192,Fatma Koç,Biyoloji,Female,4.3,6,0,*Dj0.Y45
193,Hasan Çetin,Medya,Male,2.5,17,65,WlLml-O9
194,Ege Erdem,İşletme,Male,0.5,44,25,U.l0F7rn
195,Merve Çetin,Fizik,Female,3.4,27,10,goBKgzBE
196,Oğuz Şahin,İşletme,Male,4.4,25,45,0NC5CAmF
197,Hasan Öztürk,Hukuk,Male,1.0,11,30,4fPBCR_i
198,Emine Altun,Hukuk,Female,3.0,12,35,cSvhApTU
199,Duygu Güneş,Bilgisayar Mühendisliği,Female,3.0,27,75,i7*ixYSl
200,Utku Demir,Makine Mühendisliği,Other,4.5,12,0,he-xZiWU
201,Zeynep Güneş,Bilgisayar Mühendisliği,Female,4.3,2,5,Q6DtG4x-
202,Oğuz Çetin,Biyoloji,Male,4.4,1,90,oZnhgNpO
203,Selin Çetin,Psikoloji,Female,3.4,22,85,jtJUnusb
204,Yasemin Güneş,Makine Mühendisliği,Female,3.0,22,95,-jbEHTaH
205,Hasan Kaya,Psikoloji,Male,3.7,2,35,Md30_zhL
206,Turan Erdem,Psikoloji,Male,3.9,23,35,KJOjvqrd
207,Cem Demir,Psikoloji,Male,3.6,8,80,FRPUAX7c
208,Ali Erdem,Fizik,Male,3.1,11,0,FNVJ9IW7
209,Doğa Aydın,Bilgisayar Mühendisliği,Other,4.2,4,5,f7In-Xi1
210,Emine Çetin,Matematik,Female,4.3,4,75,knHWyI-.
211,Sibel Şahin,Matematik,Female,1.8,39,30,DSjpwGvM
212,İpek Güneş,Matematik,Female,4.3,16,30,rg6Noq_4
213,Ege Polat,Biyoloji,Male,4.7,8,85,NgiZKIa9
214,Emine Güneş,Psikoloji,Female,4.6,7,65,3smyRSJq
215,Selim Kaya,Psikoloji,Male,3.1,28,80,KwF2cwXk
216,Murat Erdem,Makine Mühendisliği,Male,4.5,3,75,gLy8JUsm
217,Mustafa Erdem,Fizik,Male,4.6,22,30,46Vm.SKR
218,Elif Kaya,İşletme,Female,3.4,15,10,uDYykoHK
219,Oğuz Kaya,Fizik,Male,3.8,14,0,HQtwIpl?
220,Turan Yılmaz,Hukuk,Male,2.2,7,90,DDESAzUg
221,Cem Kaya,Biyoloji,Male,1.6,18,30,KW_rHmkh
222,Kaan Çelik,Hukuk,Male,3.7,5,30,UPLRR*OK
223,Utku Yılmaz,İşletme,Other,3.9,10,20,jj4a.Npi
224,İpek Kaya,Hukuk,Female,2.9,20,30,!-R*K2Oo
225,Fatma Şahin,İşletme,Female,1.8,13,80,jd2v0oUq
226,Nur Polat,Fizik,Female,3.2,9,30,hr!vyF9h
227,Murat Çetin,Makine Mühendisliği,Male,3.8,11,25,Pu*R.B*.
228,Cem Altun,Psikoloji,Male,2.6,29,65,K1yxdUDv
229,Deniz Aydın,Medya,Other,3.0,3,85,aGBC!sFC
230,Eren Altun,Hukuk,Male,3.5,7,90,B9I0MiGU
231,Berk Kaya,Psikoloji,Male,3.6,3,85,Kd7*9vP-
232,Kaan Demir,Matematik,Male,3.8,19,65,bH9fNfA?
233,Sinemis Toktaş,Biyoloji,Female,2.9,24,5,rqtq!sZl
234,Ayşe Koç,Matematik,Female,2.8,24,0,Fmt.rBIE
235,Yasemin Polat,Hukuk,Female,3.4,16,40,g*ldOBmH
236,Beren Çelik,Fizik,Female,4.3,30,55,zAr0ti64
237,Ceren Demir,İşletme,Female,1.1,43,40,Qvtxjc.x
238,Ali Yılmaz,Fizik,Male,4.4,48,65,kLMrtp.5
239,Ece Erdem,Biyoloji,Female,3.3,4,50,Qz*yfNNE
240,Osman Koç,Medya,Male,4.0,18,40,9VWi6?JS
241,Hasan Toktaş,Psikoloji,Male,4.1,11,95,iCuer-Nx
242,Büşra Koç,Fizik,Female,4.1,37,90,2RWquLrT
243,Deniz Koç,Bilgisayar Mühendisliği,Other,3.9,23,40,Jyb6F78F
244,İbrahim Erdem,İşletme,Male,2.7,4,20,hcFHombY
245,Osman Yılmaz,Psikoloji,Male,1.1,47,0,wEnP7eIe
246,Duygu Kaya,Biyoloji,Female,4.3,23,85,poiHc?*u
247,Nur Koç,Makine Mühendisliği,Female,1.8,14,10,?0RCSb-h
248,Eren Güneş,Bilgisayar Mühendisliği,Male,2.3,17,70,?rDZO*KI
249,Ahmet Aksoy,Psikoloji,Male,2.4,19,45,nhR_rWHj
250,Emre Yılmaz,Psikoloji,Male,0.7,8,55,a*3_RFZC
251,Utku Aydın,Hukuk,Other,1.9,3,60,Ku6ALnYO
252,Duygu Altun,Matematik,Female,1.9,18,65,dCZHkaoF
253,Ayşe Toktaş,İşletme,Female,3.0,2,20,UowlAC0_
254,Uğur Aksoy,İşletme,Male,3.9,34,25,g3diNQvL
255,Sibel Yılmaz,Fizik,Female,4.5,17,25,jLBo1w-e
256,Ozan Toktaş,Makine Mühendisliği,Other,1.8,13,25,FLwMTKeq
257,Turan Yılmaz,Makine Mühendisliği,Male,2.8,13,95,C6ommnUP
258,Eren Aydın,Biyoloji,Male,3.8,15,30,61.XJl2N
259,Ece Toktaş,Biyoloji,Female,1.0,9,35,PRwiSb9i
260,Beren Öztürk,Bilgisayar Mühendisliği,Female,3.6,4,95,cXsRyTwA
261,Hatice Erdem,Hukuk,Female,2.0,13,70,65jKgVQk
262,Uğur Toktaş,İşletme,Male,3.3,47,80,P1CQrpMa
263,Elif Aksoy,Hukuk,Female,2.4,4,80,KW4Jz_oo
264,Ege Toktaş,Hukuk,Male,0.3,13,15,t8MBq7!-
265,Cem Öztürk,İşletme,Male,4.1,41,95,4iP3lgEz
266,Emre Kaya,Fizik,Male,4.5,23,0,?z4IMgsl
267,Sinemis Kaya,Makine Mühendisliği,Female,4.7,8,25,F?uK7B?N
268,Murat Güneş,Bilgisayar Mühendisliği,Male,2.8,5,90,?jUevyBs
269,Fatma Koç,Hukuk,Female,3.8,1,95,TxP-0wv2
270,İbrahim Öztürk,Matematik,Male,3.2,20,80,39sAFCq6
271,Sinemis Çetin,Medya,Female,3.0,46,65,vs7l.HNh
272,Nur Yılmaz,Bilgisayar Mühendisliği,Female,3.2,28,25,hPpjGzJh
273,Yusuf Şahin,Matematik,Male,2.2,10,60,_sfa2*xb
274,İpek Çelik,Fizik,Female,4.2,9,80,CkfX25O_
275,Hüseyin Altun,İşletme,Male,4.4,7,80,1VSkcZkN
276,Selim Kaya,Matematik,Male,1.9,2,90,dQ8YT_3z
277,Duygu Kaya,Hukuk,Female,3.2,9,25,-KDC*DZK
278,Dilara Öztürk,Fizik,Female,3.5,25,30,?b7dgtW1
279,Zeynep Kaya,Makine Mühendisliği,Female,2.9,3,50,fk1t8P7Q
280,Sibel Altun,Medya,Female,4.4,6,50,vk2Kf!gJ
281,Oğuz Toktaş,Bilgisayar Mühendisliği,Male,3.9,5,95,vaxe3x.a
282,Merve Aksoy,Medya,Female,4.4,28,45,PHtVXU8!
283,Kaan Erdem,Biyoloji,Male,2.8,1,10,TZr6*!hd
284,Selim Yılmaz,İşletme,Male,4.1,3,55,E-vC!kC8
285,Sinemis Aydın,Matematik,Female,2.1,22,50,EG9YHADs
286,Duygu Koç,Hukuk,Female,4.7,30,5,zEkwjv.s
287,Elif Çetin,İşletme,Female,4.6,3,70,R9tzEZ1?
288,Turan Aydın,Hukuk,Male,4.4,10,80,.0iRjCp8
289,Fatma Aydın,Matematik,Female,3.2,11,70,sLxCogE2
290,Gül Aydın,Medya,Female,3.4,5,80,8eqmJxxo
291,Hatice Polat,Fizik,Female,2.2,8,40,UHyAVvbI
292,Selin Altun,Matematik,Female,4.1,8,95,IPV?QEAt
293,Büşra Yılmaz,Matematik,Female,2.1,4,55,.9t0tJs_
294,Emine Aydın,Bilgisayar Mühendisliği,Female,1.6,43,60,JbYIZzQf
295,Elif Öztürk,Hukuk,Female,3.9,10,65,Os!dL-ls
296,Oğuz Altun,Bilgisayar Mühendisliği,Male,1.2,23,20,?7a3.Bll
297,Hüseyin Toktaş,Matematik,Male,3.6,3,60,wOLOR0uB
298,Murat Aydın,Bilgisayar Mühendisliği,Male,4.8,6,75,r0Aba.-u
299,Dilara Öztürk,Matematik,Female,2.0,45,70,0KMfcPTp
300,Ceren Öztürk,Fizik,Female,3.8,8,25,70I2aC?.
301,Deniz Çetin,Biyoloji,Other,3.4,8,50,gU4?lA6v
302,Mustafa Toktaş,Matematik,Male,2.6,2,15,H!nzG*oT
303,Selim Şahin,Hukuk,Male,3.1,14,80,8.iq3kOm
304,Zeynep Demir,Bilgisayar Mühendisliği,Female,1.2,7,30,j.sey6Ak
305,Ceren Çetin,Hukuk,Female,3.5,26,10,ubZ_Tu0K
306,Nur Toktaş,Makine Mühendisliği,Female,2.4,28,40,fDyd!!w6
307,Mustafa Polat,İşletme,Male,2.9,29,45,qzMmf.Kb
308,Nur Demir,Psikoloji,Female,4.3,24,30,WlBlSb_X
309,İbrahim Yılmaz,Fizik,Male,3.7,11,15,tSc!Nsiw
310,Ege Demir,Matematik,Male,4.7,8,10,S*tdp*qp
311,Kaan Yılmaz,Bilgisayar Mühendisliği,Male,1.7,26,10,xIZa7.!3
312,Hasan Çetin,İşletme,Male,4.2,23,70,t1odWZLk
313,Arin Demir,Matematik,Other,4.8,5,75,?hlLH3oO
314,Cem Toktaş,İşletme,Male,3.1,4,85,4s2UWWXO
315,Havva Altun,Medya,Female,1.3,4,30,IAH-uMXp
316,Selim Toktaş,Biyoloji,Male,3.4,14,30,cQ9_EP_h
317,Selim Çetin,Bilgisayar Mühendisliği,Male,2.0,7,45,Kd4C-zN3
318,Elif Aydın,Medya,Female,3.6,1,5,AH6U7WAr
319,Berfin Şahin,Makine Mühendisliği,Female,4.2,23,10,9Xu_PyOd
320,Selin Çetin,İşletme,Female,1.8,7,95,aEIqJnTB
321,Sibel Öztürk,Medya,Female,0.4,2,5,ugDaSuoy
322,Hatice Çetin,Hukuk,Female,2.6,1,60,DWE5.Q7I
323,Ceren Çetin,İşletme,Female,4.0,13,35,?CRze8k9
324,Beren Koç,İşletme,Female,4.3,10,15,XW9x-nno
325,İpek Güneş,Makine Mühendisliği,Female,4.4,37,35,iV5ELh6o
326,Hasan Demir,Psikoloji,Male,2.3,19,0,AvroQut2
327,İpek Yılmaz,Fizik,Female,4.0,7,35,y7MZFzAS
328,Atalay Toktaş,Fizik,Male,3.2,2,10,*8fNkFQu
329,Ozan Öztürk,Bilgisayar Mühendisliği,Other,3.0,26,90,wVC-OOv9
330,Turan Çelik,Makine Mühendisliği,Male,1.6,15,60,GaOExm9O
331,Selim Öztürk,Medya,Male,4.8,43,50,Ks-eVH*s
332,Merve Yılmaz,Makine Mühendisliği,Female,4.5,3,40,HHW8pMO8
333,Atalay Çetin,Psikoloji,Male,3.1,12,65,lvwgQq*u
334,Zeynep Altun,Matematik,Female,2.4,3,85,Vl9E3VNO
335,Selim Çelik,Bilgisayar Mühendisliği,Male,4.7,13,50,zOdxwVSr
336,Osman Altun,Matematik,Male,1.4,27,20,QzeBgHdK
337,Berk Demir,Psikoloji,Male,2.7,6,15,IjjTm7vt
338,Hüseyin Altun,İşletme,Male,3.3,9,50,t51Ifp9H
339,Beren Yılmaz,Bilgisayar Mühendisliği,Female,3.5,1,40,ZJKto!kd
340,İbrahim Öztürk,Medya,Male,2.1,23,95,4fgtXkFl
341,Ayşe Kaya,Makine Mühendisliği,Female,3.6,26,95,ZEm?MXvq
342,Atalay Çetin,Makine Mühendisliği,Male,4.2,6,75,G_n..PPE
343,Yasemin Öztürk,Matematik,Female,4.8,1,25,Kokc2OqF
344,Emine Çetin,Medya,Female,2.4,5,35,M*XbBVIK
345,Ayşe Toktaş,Bilgisayar Mühendisliği,Female,1.0,8,15,66mdbSu6
346,İpek Koç,Bilgisayar Mühendisliği,Female,3.4,1,95,jNwkc0iH
347,Oğuz Altun,İşletme,Male,1.6,7,0,S0K!.NjE
348,Ege Toktaş,Biyoloji,Male,3.9,40,90,5BAD0Aos
349,Nur Güneş,Medya,Female,3.8,26,80,i!yQu*-M
350,Eren Şahin,Makine Mühendisliği,Male,4.4,10,55,L987t-Sv
351,Hasan Öztürk,Fizik,Male,1.8,9,55,1VnqJt6l
352,Mustafa Kaya,Bilgisayar Mühendisliği,Male,3.9,3,40,T7!.8tU0
353,İbrahim Erdem,Psikoloji,Male,4.5,28,30,v5slS7a3
354,Sinemis Yılmaz,Psikoloji,Female,4.8,19,15,.I5?v1nX
355,Berk Güneş,İşletme,Male,4.4,32,5,ilwGgmlb
356,Yıldız Çetin,Hukuk,Other,2.0,5,55,wG-Raod9
357,Yusuf Toktaş,Bilgisayar Mühendisliği,Male,3.3,35,55,zp3ADg!p
358,Atalay Koç,Matematik,Male,4.5,19,80,h8qwSmij
359,Hüseyin Erdem,Medya,Male,3.5,20,25,LorFa3nb
360,Ege Erdem,Matematik,Male,3.0,10,30,FG6QS6k4
361,Berk Şahin,Biyoloji,Male,3.7,22,25,mYMupWWw
362,Ali Çelik,Fizik,Male,3.6,23,50,37w12Ot0
363,Arin Erdem,Biyoloji,Other,3.9,17,80,.-.Qaxpt
364,Gül Kaya,Psikoloji,Female,4.8,5,50,CxUA.!zF
365,Ceren Erdem,Bilgisayar Mühendisliği,Female,3.7,12,0,MSY_-u.7
